,Player,Salary,Salary adjusted by inflation,Season
517,Shareef Abdur-Rahim,45780966,49928610.0,2021/22
521,Shareef Abdur-Rahim,42018900,45825710.0,2021/22
522,Alex Abrines,41180544,44911401.0,2021/22
543,Alex Abrines,31579390,34440406.0,2021/22
1170,Shareef Abdur-Rahim,43006362,49431367.0,2020/21
1175,Shareef Abdur-Rahim,40108950,46101091.0,2020/21
1176,Alex Abrines,39219566,45078836.0,2020/21
1196,Alex Abrines,29542010,33955486.0,2020/21
1748,Shareef Abdur-Rahim,40231758,46540848.0,2019/20
1753,Alex Abrines,37436858,43307655.0,2019/20
1754,Shareef Abdur-Rahim,37199000,43032497.0,2019/20
1776,Alex Abrines,27504630,31817869.0,2019/20
2263,Shareef Abdur-Rahim,37457154,44045441.0,2018/19
2266,Alex Abrines,35654150,41925309.0,2018/19
2273,Shareef Abdur-Rahim,30000000,35276658.0,2018/19
2284,Alex Abrines,25467250,29946649.0,2018/19
2503,Alex Abrines,3667645,4312742.0,2018/19
2839,Shareef Abdur-Rahim,34682550,41953914.0,2017/18
2840,Alex Abrines,33285709,40264218.0,2017/18
2854,Shareef Abdur-Rahim,25000000,30241370.0,2017/18
3016,Alex Abrines,6100266,7379216.0,2017/18
3026,Alex Abrines,5725000,6925273.0,2017/18
3425,Alex Abrines,30963450,38066911.0,2016/17
3427,Shareef Abdur-Rahim,26540100,32628781.0,2016/17
3506,Shareef Abdur-Rahim,12112359,14891108.0,2016/17
3593,Alex Abrines,5994764,7370049.0,2016/17
3630,Alex Abrines,4826160,5933350.0,2016/17
3971,Alex Abrines,22970500,28521911.0,2015/16
3976,Shareef Abdur-Rahim,21971850,27281911.0,2015/16
4034,Shareef Abdur-Rahim,11370786,14118828.0,2015/16
4137,Alex Abrines,4626960,5745183.0,2015/16
4475,Alex Abrines,20644400,25665376.0,2014/15
4478,Shareef Abdur-Rahim,19997513,24861158.0,2014/15
4529,Shareef Abdur-Rahim,10629213,13214370.0,2014/15
4640,Alex Abrines,4427640,5504497.0,2014/15
4992,Alex Abrines,19067500,24196202.0,2013/14
4993,Shareef Abdur-Rahim,18773176,23822712.0,2013/14
5044,Shareef Abdur-Rahim,9887642,12547181.0,2013/14
5486,Shareef Abdur-Rahim,17548838,22659748.0,2012/13
5487,Alex Abrines,17545000,22654792.0,2012/13
5654,Shareef Abdur-Rahim,3958742,5111683.0,2012/13
5986,Alex Abrines,16022500,21033142.0,2011/12
5989,Shareef Abdur-Rahim,15506632,20355949.0,2011/12
6172,Shareef Abdur-Rahim,3117120,4091922.0,2011/12
6453,Alex Abrines,14500000,19711923.0,2010/11
6549,Shareef Abdur-Rahim,6053663,8229609.0,2010/11
6652,Shareef Abdur-Rahim,2913840,3961199.0,2010/11
6909,Alex Abrines,15779912,21677854.0,2009/10
7000,Shareef Abdur-Rahim,6600000,9066833.0,2009/10
7050,Shareef Abdur-Rahim,4796880,6589774.0,2009/10
7126,Shareef Abdur-Rahim,2710560,3723666.0,2009/10
7373,Alex Abrines,14410581,19514263.0,2008/09
7518,Shareef Abdur-Rahim,4484040,6072117.0,2008/09
7839,Alex Abrines,13041250,18546814.0,2007/08
7932,Shareef Abdur-Rahim,5800000,8248559.0,2007/08
7978,Shareef Abdur-Rahim,4171200,5932136.0,2007/08
8392,Alex Abrines,5828090,8511223.0,2006/07
8406,Shareef Abdur-Rahim,5400000,7886049.0,2006/07
8539,Tariq Abdul-Wahad,1968750,2875122.0,2006/07
8914,Shareef Abdur-Rahim,5000000,7617249.0,2005/06
8921,Alex Abrines,4621800,7041080.0,2005/06
8950,Tariq Abdul-Wahad,3656250,5570113.0,2005/06
9264,Shareef Abdur-Rahim,14625000,22844219.0,2004/05
9326,Tariq Abdul-Wahad,6750000,10543485.0,2004/05
9403,Alex Abrines,4320360,6748393.0,2004/05
9727,Shareef Abdur-Rahim,13500000,21775713.0,2003/04
9803,Tariq Abdul-Wahad,6187500,9980535.0,2003/04
9871,Alex Abrines,4018920,6482581.0,2003/04
10188,Shareef Abdur-Rahim,12375000,20382704.0,2002/03
10266,Tariq Abdul-Wahad,5625000,9264865.0,2002/03
10643,Shareef Abdur-Rahim,11250000,18727521.0,2001/02
10722,Tariq Abdul-Wahad,5062500,8427384.0,2001/02
11101,Shareef Abdur-Rahim,10130000,17410849.0,2000/01
11180,Tariq Abdul-Wahad,4500000,7734335.0,2000/01
11425,Mahmoud Abdul-Rauf,798500,1372414.0,2000/01
11559,Shareef Abdur-Rahim,9000000,16045722.0,1999/00
11783,Tariq Abdul-Wahad,1594920,2843515.0,1999/00
