Player,Salary,Salary adjusted by inflation,Season
Stephen Curry,51915615,0.0,2023/24
Kevin Durant,47649433,0.0,2023/24
Nikola Jokic,47607350,0.0,2023/24
LeBron James,47607350,0.0,2023/24
Joel Embiid,47607350,0.0,2023/24
Bradley Beal,46741590,0.0,2023/24
Paul George,45640084,0.0,2023/24
Kawhi Leonard,45640084,0.0,2023/24
Giannis Antetokounmpo,45640084,0.0,2023/24
Damian Lillard,45640084,0.0,2023/24
Jimmy Butler,45183960,0.0,2023/24
Klay Thompson,43219440,0.0,2023/24
Rudy Gobert,41000000,0.0,2023/24
Fred VanVleet,40806300,0.0,2023/24
Anthony Davis,40600080,0.0,2023/24
Trae Young,40064220,0.0,2023/24
Zach LaVine,40064220,0.0,2023/24
Luka Doncic,40064220,0.0,2023/24
Tobias Harris,39270150,0.0,2023/24
Ben Simmons,37893408,0.0,2023/24
Pascal Siakam,37893408,0.0,2023/24
Kyrie Irving,37037037,0.0,2023/24
Jrue Holiday,36861707,0.0,2023/24
Karl-Anthony Towns,36016200,0.0,2023/24
Devin Booker,36016200,0.0,2023/24
Kristaps Porzingis,36016200,0.0,2023/24
CJ McCollum,35802469,0.0,2023/24
James Harden,35640000,0.0,2023/24
Darius Garland,34005250,0.0,2023/24
Ja Morant,34005250,0.0,2023/24
Zion Williamson,34005250,0.0,2023/24
Jamal Murray,33833400,0.0,2023/24
Brandon Ingram,33833400,0.0,2023/24
Michael Porter,33386850,0.0,2023/24
Shai Gilgeous-Alexander,33386850,0.0,2023/24
Donovan Mitchell,33162030,0.0,2023/24
Jayson Tatum,32600060,0.0,2023/24
Bam Adebayo,32600060,0.0,2023/24
De'Aaron Fox,32600060,0.0,2023/24
Deandre Ayton,32459438,0.0,2023/24
Jaylen Brown,31830357,0.0,2023/24
Gordon Hayward,31500000,0.0,2023/24
Chris Paul,30800000,0.0,2023/24
Domantas Sabonis,30600000,0.0,2023/24
Kyle Lowry,29682540,0.0,2023/24
Khris Middleton,29320988,0.0,2023/24
DeMar DeRozan,28600000,0.0,2023/24
Julius Randle,28226880,0.0,2023/24
Jordan Poole,27955357,0.0,2023/24
Jerami Grant,27586207,0.0,2023/24
Jaren Jackson Jr,27102202,0.0,2023/24
Tyler Herro,27000000,0.0,2023/24
Jalen Brunson,26346666,0.0,2023/24
Cameron Johnson,25679348,0.0,2023/24
Kyle Kuzma,25568182,0.0,2023/24
John Collins,25340000,0.0,2023/24
Brook Lopez,25000000,0.0,2023/24
Mike Conley,24360000,0.0,2023/24
Andrew Wiggins,24330357,0.0,2023/24
Anfernee Simons,24107143,0.0,2023/24
RJ Barrett,23883929,0.0,2023/24
Jordan Clarkson,23487629,0.0,2023/24
Terry Rozier,23205221,0.0,2023/24
Dillon Brooks,22627671,0.0,2023/24
Malcolm Brogdon,22500000,0.0,2023/24
Draymond Green,22321429,0.0,2023/24
Aaron Gordon,22266182,0.0,2023/24
Bruce Brown,22000000,0.0,2023/24
Mikal Bridges,21700000,0.0,2023/24
Myles Turner,20975000,0.0,2023/24
Clint Capela,20616000,0.0,2023/24
Lonzo Ball,20465117,0.0,2023/24
Spencer Dinwiddie,20357143,0.0,2023/24
De'Andre Hunter,20089286,0.0,2023/24
Jarrett Allen,20000000,0.0,2023/24
Jakob Poeltl,20000000,0.0,2023/24
Bojan Bogdanovic,20000000,0.0,2023/24
Keldon Johnson,20000000,0.0,2023/24
Joe Harris,19928571,0.0,2023/24
Buddy Hield,19279841,0.0,2023/24
Evan Fournier,18857143,0.0,2023/24
Bogdan Bogdanovic,18700000,0.0,2023/24
OG Anunoby,18642857,0.0,2023/24
Marcus Smart,18583713,0.0,2023/24
Gary Trent Jr,18560000,0.0,2023/24
Nikola Vucevic,18518519,0.0,2023/24
Derrick White,18357143,0.0,2023/24
Dejounte Murray,18214000,0.0,2023/24
Duncan Robinson,18154000,0.0,2023/24
Norman Powell,18000000,0.0,2023/24
Tim Hardaway Jr,17897728,0.0,2023/24
Jonathan Isaac,17400000,0.0,2023/24
Collin Sexton,17325000,0.0,2023/24
D'Angelo Russell,17307693,0.0,2023/24
Lauri Markkanen,17259999,0.0,2023/24
Marcus Morris,17116279,0.0,2023/24
