,name,sal,team
0,John Collins,23000000,ATL
1,Danilo Gallinari,20475000,ATL
2,Bogdan Bogdanovic,18000000,ATL
3,Clint Capela,17603448,ATL
4,Delon Wright,8526316,ATL
5,Trae Young,8326471,ATL
6,De'Andre Hunter,7775400,ATL
7,Onyeka Okongwu,6104280,ATL
8,Kevin Knox II,5845978,ATL
9,Cam Reddish,4670160,ATL
10,Kevin Huerter,4253357,ATL
11,Gorgui Dieng,4000000,ATL
12,Jalen Johnson,2659680,ATL
13,Solomon Hill,2389641,ATL
14,Skylar Mays,510907,ATL
15,Sharife Cooper,462629,ATL
16,Malcolm Hill,324373,ATL
17,Cameron Oliver,85578,ATL
18,Jayson Tatum,28103500,BOS
19,Al Horford,27000000,BOS
20,Jaylen Brown,26758928,BOS
21,Marcus Smart,13839285,BOS
22,Josh Richardson,11615328,BOS
23,Daniel Theis,8280351,BOS
24,Romeo Langford,3804360,BOS
25,Aaron Nesmith,3631200,BOS
26,Payton Pritchard,2137440,BOS
27,Bruno Fernando,1782621,BOS
28,Jabari Parker,1168286,BOS
29,Kelan Martin,993760,BOS
30,Luke Kornet,812364,BOS
31,Malik Fitts,630874,BOS
32,Sam Hauser,619498,BOS
33,Justin Jackson,308493,BOS
34,Juwan Morgan,211046,BOS
35,CJ Miles,151821,BOS
36,Joe Johnson,151821,BOS
37,Matt Ryan,111669,BOS
38,Kevin Durant,42018900,BKN
39,Kyrie Irving,35328700,BKN
40,Ben Simmons,33003936,BKN
41,Blake Griffin,32405817,BKN
42,Joe Harris,17357143,BKN
43,Seth Curry,8207518,BKN
44,Bruce Brown,4736102,BKN
45,Jevon Carter,4107149,BKN
46,LaMarcus Aldridge,2641691,BKN
47,James Johnson,2641691,BKN
48,Paul Millsap,2641691,BKN
49,Andre Drummond,2401537,BKN
50,Wenyen Gabriel,522015,BKN
51,Kessler Edwards,463211,BKN
52,Langston Galloway,386127,BKN
53,Shaquille Harrison,308493,BKN
54,Gordon Hayward,29925000,CHA
55,Terry Rozier,17905263,CHA
56,Kelly Oubre,12400000,CHA
57,Montrezl Harrell,9720900,CHA
58,Mason Plumlee,9248333,CHA
59,LaMelo Ball,8231760,CHA
60,Miles Bridges,5421493,CHA
61,James Bouknight,4154400,CHA
62,Kai Jones,2770560,CHA
63,Jalen McDaniels,1782621,CHA
64,Cody Martin,1782621,CHA
65,Nick Richards,1517981,CHA
66,Scottie Lewis,462629,CHA
67,Arnoldas Kulboka,462629,CHA
68,DeMar DeRozan,26000000,CHI
69,Nikola Vucevic,24000000,CHI
70,Zach LaVine,19500000,CHI
71,Lonzo Ball,18604651,CHI
72,Derrick Jones Jr,9701000,CHI
73,Alex Caruso,8600000,CHI
74,Troy Brown Jr.,5170564,CHI
75,Tony Bradley,1789256,CHI
76,Javonte Green,1669178,CHI
77,Alfonzo McKinnie,1090007,CHI
78,Alize Johnson,1003740,CHI
79,Ayo Dosunmu,925258,CHI
80,Tyler Cook,462629,CHI
81,Malcolm Hill,324373,CHI
82,Devon Dotson,239291,CHI
83,Mac McClung,111670,CHI
84,Jordan Bell,102831,CHI
85,Kevin Love,31258256,CLE
86,Jarrett Allen,20000000,CLE
87,Ricky Rubio,17800000,CLE
88,Caris LeVert,17500000,CLE
89,Lauri Markkanen,15690909,CLE
90,Cedi Osman,8133334,CLE
91,Evan Mobley,8075160,CLE
92,Rajon Rondo,7500000,CLE
93,Darius Garland,7040880,CLE
94,Isaac Okoro,6720720,CLE
95,Ed Davis,2641691,CLE
96,Moses Brown,1933909,CLE
97,Kevin Pangos,1569178,CLE
98,Luke Kornet,812364,CLE
99,Justin Anderson,445828,CLE
100,Tim Frazier,386127,CLE
101,Brandon Goodwin,343988,CLE
102,Tacko Fall,218021,CLE
103,Malik Newman,85578,CLE
104,Tim Hardaway Jr,21000000,DAL
105,Spencer Dinwiddie,19314284,DAL
106,Davis Bertans,16000000,DAL
107,Dwight Powell,11080125,DAL
108,Luka Doncic,10174391,DAL
109,Reggie Bullock,9536000,DAL
110,Maxi Kleber,8750000,DAL
111,Willie Cauley-Stein,4220083,DAL
112,Dorian Finney-Smith,4000000,DAL
113,Boban Marjanovic,3500000,DAL
114,Trey Burke,3150000,DAL
115,Sterling Brown,3000000,DAL
116,Josh Green,2957520,DAL
117,Moses Brown,1933909,DAL
118,Jalen Brunson,1802057,DAL
119,Frank Ntilikina,1789256,DAL
120,Marquese Chriss,1292900,DAL
121,Theo Pinson,440710,DAL
122,Eugene Omoruyi,281831,DAL
123,Brandon Knight,274672,DAL
124,JaQuori McLaughlin,220679,DAL
125,Carlik Jones,106352,DAL
126,George King,85578,DAL
127,Nikola Jokic,31044906,DEN
128,Jamal Murray,29467800,DEN
129,Aaron Gordon,16409091,DEN
130,Will Barton,15625000,DEN
131,Monte Morris,8449074,DEN
132,JaMychal Green,8200000,DEN
133,Michael Porter Jr.,5258735,DEN
134,Jeff Green,4500000,DEN
135,Bryn Forbes,4500000,DEN
136,Facundo Campazzo,3100000,DEN
137,Zeke Nnaji,2498760,DEN
138,Austin Rivers,2401537,DEN
139,Bol Bol,2161152,DEN
140,Bones Hyland,2096880,DEN
141,DeMarcus Cousins,2038942,DEN
142,PJ Dozier,1910860,DEN
143,Vlatko Cancar,1782621,DEN
144,Davon Reed,532398,DEN
